Metric,Q1FY26,Q1FY25,YoY Growth (%)
Company Name,Reliance Industries Ltd,,
Sector,Energy & Telecom,,
Current Market Price (CMP),2980,,
Target Price,3450,,
Rating,BUY,,
Market Cap (Rs cr),2015000,,
Enterprise Value (Rs cr),2210000,,
Revenue from Operations,236890,216850,9.2
EBITDA,42780,38760,10.4
EBITDA Margin (%),18.1,17.9,0.2
PAT Adjusted,17450,15130,15.3
Adjusted EPS (Rs),25.8,22.4,15.2
Highlights,Oil to Chemical business robust expansion | Retail footfalls crossed 250M | Jio ARPU expanded to Rs 181.7,,
